Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
4.471298 ; 16.96825
4.49497 ; 17.14399
4.518641 ; 17.36273
4.542313 ; 17.63725
4.565984 ; 17.98708
4.589656 ; 18.44332
4.613327 ; 19.0539
4.629795 ; 19.60843
4.646262 ; 20.31357
4.662729 ; 21.23133
4.670963 ; 21.79934
4.679196 ; 22.46298
4.690003 ; 23.52137
4.70081 ; 24.86732
4.706214 ; 25.68431
4.711617 ; 26.62397
4.71702 ; 27.71328
4.722423 ; 28.98621
4.727827 ; 30.48589
4.73323 ; 32.2655
4.738633 ; 34.39188
4.744036 ; 36.94627
4.74944 ; 40.02628
4.754843 ; 43.74348
4.760246 ; 48.22464
4.765649 ; 53.60493
4.77131 ; 60.35463
4.77697 ; 68.38136
4.782631 ; 77.79656
4.788291 ; 88.64741
4.793952 ; 100.904
4.799612 ; 114.4195
4.810933 ; 144.0215
4.825342 ; 181.1805
4.831482 ; 194.4034
4.837621 ; 204.7987
4.843761 ; 211.6473
4.8499 ; 214.4524
4.852713 ; 214.3197
4.861151 ; 208.6431
4.869588 ; 195.8114
4.88026 ; 172.0454
4.890932 ; 144.076
4.901604 ; 116.2402
4.90694 ; 103.4106
4.912275 ; 91.66123
4.916263 ; 83.66813
4.92025 ; 76.38252
4.924238 ; 69.80192
4.928225 ; 63.91164
4.932213 ; 58.67598
4.9362 ; 54.05433
4.940188 ; 49.99445
4.944175 ; 46.4451
4.948163 ; 43.35049
4.95215 ; 40.65953
4.956138 ; 38.32107
4.960125 ; 36.29031
4.964113 ; 34.52461
4.9681 ; 32.98787
4.976075 ; 30.47389
4.98405 ; 28.53803
4.992025 ; 27.02676
5.0 ; 25.8303
5.010599 ; 24.59703
5.021197 ; 23.66059
5.031796 ; 22.94037
5.042394 ; 22.3831
5.052993 ; 21.95203
5.063591 ; 21.62137
5.07419 ; 21.37233
5.084788 ; 21.19114
5.105985 ; 20.99376
5.127182 ; 20.97479
5.148379 ; 21.10387
5.169575 ; 21.36279
5.205063 ; 22.05668
5.24055 ; 23.05839
5.271602 ; 24.18879
5.302654 ; 25.57124
5.31818 ; 26.37319
5.333706 ; 27.2725
5.349232 ; 28.30751
5.356995 ; 28.89536
5.364757 ; 29.54455
5.373629 ; 30.37868
5.3825 ; 31.33054
5.390074 ; 32.24975
5.397647 ; 33.27324
5.405221 ; 34.39855
5.412794 ; 35.61058
5.443088 ; 40.50496
5.453851 ; 41.74335
5.464613 ; 42.42654
5.471775 ; 42.52497
5.478216 ; 42.36783
5.484657 ; 41.99452
5.497538 ; 40.72612
5.5233 ; 37.28688
5.53125 ; 36.28131
5.5392 ; 35.38006
5.5498 ; 34.36433
5.5604 ; 33.55543
5.571 ; 32.92283
5.5816 ; 32.42667
5.58976 ; 32.11373
5.597919 ; 31.84499
5.614238 ; 31.39834
5.630557 ; 31.02914
5.646875 ; 30.70972
5.679513 ; 30.18148
5.71215 ; 29.7915
5.7579 ; 29.51365
5.80365 ; 29.62368
5.836522 ; 29.99501
5.869394 ; 30.67387
5.902266 ; 31.74957
5.935138 ; 33.33947
5.96801 ; 35.60931
5.984446 ; 37.07075
6.000882 ; 38.79883
6.017318 ; 40.8374
6.033754 ; 43.2349
6.05019 ; 46.04076
6.066625 ; 49.29798
6.085882 ; 53.72204
6.105138 ; 58.78331
6.124394 ; 64.3721
6.14365 ; 70.26761
6.162907 ; 76.16479
6.182163 ; 81.7718
6.201419 ; 86.9962
6.211047 ; 89.55434
6.220675 ; 92.2124
6.229238 ; 94.80628
6.2378 ; 97.8091
6.248504 ; 102.5424
6.253856 ; 105.5168
6.259207 ; 109.0441
6.264559 ; 113.2628
6.26991 ; 118.3314
6.275262 ; 124.4358
6.280613 ; 131.7809
6.288092 ; 144.5641
6.295571 ; 160.8885
6.30305 ; 181.4236
6.310529 ; 206.7564
6.318008 ; 237.274
6.325487 ; 273.0254
6.332966 ; 313.5797
6.340444 ; 357.9043
6.351825 ; 428.6472
6.361088 ; 483.9066
6.37035 ; 531.1758
6.379613 ; 565.04
6.388875 ; 581.2064
6.392 ; 582.2024
6.399813 ; 574.6023
6.407625 ; 553.2146
6.418063 ; 506.3952
6.4285 ; 445.032
6.438938 ; 377.0512
6.449375 ; 309.8199
6.456458 ; 267.5046
6.46354 ; 229.2037
6.470622 ; 195.4987
6.477704 ; 166.547
6.484786 ; 142.176
6.491868 ; 121.9911
6.49895 ; 105.4756
6.506032 ; 92.07075
6.510585 ; 84.84128
6.515138 ; 78.53842
6.519691 ; 73.03973
6.524243 ; 68.23616
6.528796 ; 64.02822
6.533349 ; 60.33196
6.542454 ; 54.19136
6.55156 ; 49.34388
6.560665 ; 45.45312
6.56977 ; 42.27841
6.578875 ; 39.64905
6.589155 ; 37.18385
6.599435 ; 35.1329
6.609715 ; 33.40658
6.619994 ; 31.93988
6.630274 ; 30.6842
6.640554 ; 29.60323
6.661113 ; 27.85977
6.681673 ; 26.55122
6.702232 ; 25.57917
6.722791 ; 24.88205
6.74335 ; 24.42388
6.768607 ; 24.16546
6.793863 ; 24.24964
6.808596 ; 24.47424
6.823329 ; 24.84907
6.838062 ; 25.40085
6.852794 ; 26.16816
6.867527 ; 27.20718
6.88226 ; 28.60048
6.896993 ; 30.47264
6.911725 ; 33.0156
6.922147 ; 35.37785
6.932569 ; 38.37762
6.942991 ; 42.22491
6.953413 ; 47.19755
6.958624 ; 50.21299
6.963835 ; 53.64716
6.969046 ; 57.55394
6.974257 ; 61.98912
6.979468 ; 67.00832
6.984679 ; 72.66423
6.98989 ; 79.00307
6.9951 ; 86.05897
7.001313 ; 95.43881
7.007525 ; 105.8608
7.01995 ; 129.5378
7.0448 ; 182.2185
7.054757 ; 201.2513
7.064713 ; 216.3551
7.074669 ; 225.8703
7.084625 ; 228.6717
7.092369 ; 225.9506
7.100113 ; 219.1248
7.107857 ; 208.6732
7.1156 ; 195.3048
7.12955 ; 166.6005
7.1435 ; 136.2504
7.150475 ; 121.7884
7.15745 ; 108.3011
7.164425 ; 96.01577
7.1714 ; 85.05074
7.1807 ; 72.51956
7.18535 ; 67.11659
7.19 ; 62.25167
7.195323 ; 57.29721
7.200645 ; 52.94327
7.205968 ; 49.12736
7.21129 ; 45.79069
7.216613 ; 42.87444
7.221935 ; 40.32623
7.227257 ; 38.09687
7.232579 ; 36.14294
7.243224 ; 32.9133
7.253868 ; 30.38955
7.264513 ; 28.3886
7.275157 ; 26.77894
7.286474 ; 25.39087
7.297791 ; 24.25668
7.309108 ; 23.31823
7.320424 ; 22.53343
7.343058 ; 21.30811
7.365691 ; 20.41346
7.388325 ; 19.74984
7.410958 ; 19.25397
7.433592 ; 18.88285
7.456225 ; 18.60611
7.496463 ; 18.27971
7.5367 ; 18.07463
7.565725 ; 17.93111
7.59475 ; 17.72579
7.623775 ; 17.41012
7.6528 ; 16.97941
7.681825 ; 16.49204
7.699966 ; 16.20193
7.718107 ; 15.95104
7.736248 ; 15.75557
7.754388 ; 15.62314
7.767812 ; 15.56586
7.781235 ; 15.54105
7.793569 ; 15.54425
7.816696 ; 15.60802
7.839823 ; 15.73345
7.86295 ; 15.90775
7.886077 ; 16.12239
7.932331 ; 16.65703
7.978585 ; 17.33371
8.024839 ; 18.1753
8.071093 ; 19.22165
8.09422 ; 19.84154
8.117347 ; 20.54
8.140474 ; 21.32907
8.1636 ; 22.2226
8.19752 ; 23.7582
8.23144 ; 25.62399
8.26536 ; 27.91279
8.299279 ; 30.75189
8.316239 ; 32.43103
8.333199 ; 34.31995
8.350159 ; 36.45317
8.367118 ; 38.87227
8.384078 ; 41.62827
8.401038 ; 44.78347
8.417998 ; 48.41589
8.434957 ; 52.62464
8.459625 ; 60.04869
8.477257 ; 66.57247
8.494888 ; 74.42371
8.512519 ; 83.98626
8.53015 ; 95.78806
8.547782 ; 110.5727
8.556598 ; 119.3997
8.565413 ; 129.4034
8.574229 ; 140.7946
8.583044 ; 153.8211
8.59186 ; 168.7838
8.600675 ; 186.0302
8.608091 ; 202.6061
8.615507 ; 221.3582
8.622923 ; 242.5821
8.630338 ; 266.5868
8.637754 ; 293.6961
8.645169 ; 324.2084
8.652585 ; 358.4026
8.66 ; 396.476
8.671183 ; 461.4414
8.682366 ; 535.1819
8.693549 ; 616.4169
8.704732 ; 702.6242
8.715915 ; 789.9707
8.727098 ; 873.483
8.738281 ; 947.498
8.749463 ; 1006.352
8.759682 ; 1042.754
8.7699 ; 1059.909
8.777713 ; 1059.327
8.785525 ; 1047.016
8.80115 ; 990.5233
8.811906 ; 931.6992
8.822661 ; 861.9794
