Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1689155.0 ; 2.954691
1689183.0 ; 3.30056
1689210.0 ; 3.708001
1689238.0 ; 4.184792
1689252.0 ; 4.429369
1689265.0 ; 4.650352
1689279.0 ; 4.872459
1689293.0 ; 5.068056
1689307.0 ; 5.227235
1689320.0 ; 5.334861
1689330.0 ; 5.387819
1689340.0 ; 5.413031
1689354.0 ; 5.400416
1689368.0 ; 5.332763
1689382.0 ; 5.21399
1689395.0 ; 5.063741
1689409.0 ; 4.867117
1689423.0 ; 4.644122
1689437.0 ; 4.405095
1689450.0 ; 4.177446
1689464.0 ; 3.934456
1689478.0 ; 3.700826
1689505.0 ; 3.295562
1689533.0 ; 2.954872
1689560.0 ; 2.705018
1689588.0 ; 2.517022
1689615.0 ; 2.389638
1689643.0 ; 2.297865
1689670.0 ; 2.235482
1689780.0 ; 2.086161
1689890.0 ; 1.969164
1689918.0 ; 1.941794
1689945.0 ; 1.917639
1689973.0 ; 1.895857
1690000.0 ; 1.878714
1690020.0 ; 1.868637
1690040.0 ; 1.860717
1690060.0 ; 1.854729
1690079.0 ; 1.850537
1690099.0 ; 1.84735
1690118.0 ; 1.845171
1690157.0 ; 1.842244
1690313.0 ; 1.835281
1690625.0 ; 1.822239
1690782.0 ; 1.815676
1690860.0 ; 1.812416
1690938.0 ; 1.809155
1690977.0 ; 1.807525
1691016.0 ; 1.805895
1691055.0 ; 1.804265
1691094.0 ; 1.802635
1691250.0 ; 1.796114
1691875.0 ; 1.77004
1691954.0 ; 1.767139
1692032.0 ; 1.765256
1692110.0 ; 1.764437
1692188.0 ; 1.764069
1692500.0 ; 1.762902
1693750.0 ; 1.758248
1693907.0 ; 1.757668
1693985.0 ; 1.757404
1694063.0 ; 1.75718
1694375.0 ; 1.756439
1695000.0 ; 1.754974
1695625.0 ; 1.75351
1695938.0 ; 1.75278
1696250.0 ; 1.752129
1697500.0 ; 1.749612
1698125.0 ; 1.748372
1698750.0 ; 1.747205
1700000.0 ; 1.744875
1705000.0 ; 1.736231
1710000.0 ; 1.728146
1720000.0 ; 1.712932
1730000.0 ; 1.698325
1740000.0 ; 1.683868
1750000.0 ; 1.669235
1760000.0 ; 1.654116
1770000.0 ; 1.638142
1780000.0 ; 1.620812
1790000.0 ; 1.601421
1800000.0 ; 1.579218
1810000.0 ; 1.555922
1814000.0 ; 1.550342
1820000.0 ; 1.571395
1822500.0 ; 1.618859
1823750.0 ; 1.665418
1825000.0 ; 1.740361
1826250.0 ; 1.870267
1826875.0 ; 1.960374
1827500.0 ; 2.088523
1828125.0 ; 2.241088
1828750.0 ; 2.451397
1829063.0 ; 2.568257
1829375.0 ; 2.721675
1830000.0 ; 3.03667
1831650.0 ; 4.122803
1832063.0 ; 4.378696
1832475.0 ; 4.538236
1832888.0 ; 4.694877
1833300.0 ; 4.754878
1834000.0 ; 4.655229
1835500.0 ; 4.06427
1837000.0 ; 3.453885
1837750.0 ; 3.217704
1838500.0 ; 3.01944
1839250.0 ; 2.852756
1840000.0 ; 2.715001
1841250.0 ; 2.541357
1842500.0 ; 2.411027
1845000.0 ; 2.23268
1847500.0 ; 2.123349
1850000.0 ; 2.050571
1855000.0 ; 1.968018
1860000.0 ; 1.931785
1862000.0 ; 1.925943
1870000.0 ; 1.943581
1875000.0 ; 1.991322
1880000.0 ; 2.075695
1884000.0 ; 2.181891
1887000.0 ; 2.292487
1890000.0 ; 2.430213
1900000.0 ; 3.035645
1903000.0 ; 3.146343
1906000.0 ; 3.16684
1908000.0 ; 3.118842
1910000.0 ; 3.033981
1915000.0 ; 2.745823
